Id;gaming_interest_score;insta_design_interest_score;football_interest_score;recommended_product;campaign_success;age;canal_recommande;tranche_age;segment_principal;campaign_success_num
46;69.0;71.0;26.0;instagram pack;True;20;insta;19-25;design;1
47;36.0;96.0;50.0;instagram pack;True;20;insta;19-25;design;1
48;23.0;78.0;58.0;instagram pack;True;29;insta;26-35;design;1
49;95.0;87.0;51.0;fortnite;True;26;facebook;26-35;gaming;1
50;57.0;51.0;11.0;fortnite;True;27;mail;26-35;gaming;1
51;1.0;2.0;100.0;fifa;True;46;mail;36-50;football;1
52;80.0;58.0;1.0;fortnite;True;21;facebook;19-25;gaming;1
53;53.0;86.0;100.0;fifa;True;42;mail;36-50;football;1
54;0.0;18.0;1.0;instagram pack;False;20;insta;19-25;design;0
55;89.0;31.0;69.0;fortnite;True;28;facebook;26-35;gaming;1
56;67.0;54.0;74.0;fifa;True;24;mail;19-25;football;1
57;16.0;37.0;23.0;instagram pack;True;27;insta;26-35;design;1
58;97.0;69.0;85.0;fortnite;True;27;facebook;26-35;gaming;1
59;15.0;96.0;72.0;instagram pack;True;59;insta;51+;design;1
60;69.0;79.0;92.0;fifa;False;20;mail;19-25;football;0
61;58.0;35.0;18.0;fortnite;False;27;insta;26-35;gaming;0
62;18.0;19.0;95.0;fifa;True;58;mail;51+;football;1
63;32.0;39.0;38.0;instagram pack;False;28;insta;26-35;design;0
64;0.0;10.0;91.0;fifa;True;55;mail;51+;football;1
65;49.0;22.0;30.0;fortnite;False;28;insta;26-35;gaming;0
66;98.0;6.0;15.0;fortnite;False;27;facebook;26-35;gaming;0
67;59.0;1.0;0.0;fortnite;True;25;facebook;19-25;gaming;1
68;11.0;68.0;36.0;instagram pack;False;30;insta;26-35;design;0
69;8.0;98.0;18.0;instagram pack;True;24;facebook;19-25;design;1
70;2.0;19.0;23.0;fifa;True;22;mail;19-25;football;1
71;32.0;23.0;74.0;fifa;False;59;mail;51+;football;0
73;35.0;37.0;83.0;fifa;True;57;mail;51+;football;1
74;88.0;98.0;24.0;instagram pack;True;28;insta;26-35;design;1
75;81.0;65.0;53.0;fortnite;True;30;facebook;26-35;gaming;1
76;60.0;40.0;99.0;fifa;True;21;mail;19-25;football;1
77;32.0;13.0;20.0;fortnite;True;28;facebook;26-35;gaming;1
78;7.0;6.0;66.0;fifa;False;45;mail;36-50;football;0
79;32.0;47.0;75.0;fifa;True;44;mail;36-50;football;1
80;85.0;21.0;29.0;fortnite;False;27;facebook;26-35;gaming;0
81;50.0;53.0;7.0;instagram pack;False;21;insta;19-25;design;0
82;97.0;20.0;29.0;fortnite;True;20;facebook;19-25;gaming;1
83;63.0;96.0;68.0;instagram pack;True;25;insta;19-25;design;1
84;47.0;18.0;3.0;fortnite;True;30;insta;26-35;gaming;1
85;48.0;16.0;43.0;fortnite;False;29;insta;26-35;gaming;0
86;92.0;45.0;5.0;fortnite;True;30;facebook;26-35;gaming;1
87;36.0;23.0;92.0;fifa;True;59;mail;51+;football;1
88;52.0;94.0;98.0;fifa;False;40;mail;36-50;football;0
89;62.0;84.0;31.0;instagram pack;False;28;mail;26-35;design;0
90;66.0;17.0;24.0;fortnite;True;30;facebook;26-35;gaming;1
91;53.0;57.0;66.0;fifa;True;46;mail;36-50;football;1
92;23.0;31.0;46.0;fifa;False;22;mail;19-25;football;0
93;65.0;26.0;1.0;fortnite;True;23;facebook;19-25;gaming;1
94;32.0;8.0;42.0;fifa;False;20;mail;19-25;football;0
95;38.0;92.0;41.0;instagram pack;False;21;insta;19-25;design;0
96;98.0;49.0;24.0;fortnite;True;29;facebook;26-35;gaming;1
97;59.0;6.0;56.0;fortnite;False;28;insta;26-35;gaming;0
98;19.0;64.0;7.0;instagram pack;False;26;insta;26-35;design;0
99;15.0;13.0;75.0;fifa;False;60;mail;51+;football;0
100;14.0;91.0;97.0;fifa;True;50;mail;36-50;football;1
101;86.0;62.0;85.0;fortnite;True;25;facebook;19-25;gaming;1
102;57.0;62.0;61.0;instagram pack;True;51;insta;51+;design;1
103;57.0;57.0;85.0;fifa;True;52;mail;51+;football;1
104;41.0;69.0;14.0;instagram pack;True;23;insta;19-25;design;1
105;59.0;100.0;96.0;instagram pack;False;60;insta;51+;design;0
107;59.0;4.0;67.0;fifa;False;51;mail;51+;football;0
108;95.0;93.0;46.0;fortnite;True;27;facebook;26-35;gaming;1
109;39.0;51.0;15.0;instagram pack;False;25;insta;19-25;design;0
110;29.0;18.0;16.0;fortnite;True;22;mail;19-25;gaming;1
111;18.0;91.0;57.0;instagram pack;True;22;insta;19-25;design;1
112;100.0;89.0;61.0;fortnite;False;20;mail;19-25;gaming;0
113;8.0;11.0;0.0;instagram pack;True;22;insta;19-25;design;1
114;0.0;33.0;95.0;fifa;True;52;mail;51+;football;1
115;47.0;88.0;0.0;instagram pack;False;30;insta;26-35;design;0
116;63.0;62.0;68.0;fifa;True;22;facebook;19-25;football;1
117;66.0;75.0;25.0;instagram pack;True;20;insta;19-25;design;1
118;100.0;85.0;56.0;fortnite;True;21;facebook;19-25;gaming;1
119;91.0;68.0;46.0;fortnite;True;23;facebook;19-25;gaming;1
120;61.0;68.0;75.0;fifa;True;28;mail;26-35;football;1
122;32.0;93.0;100.0;fifa;True;44;mail;36-50;football;1
123;9.0;68.0;99.0;fifa;True;52;mail;51+;football;1
124;94.0;9.0;18.0;fortnite;True;27;mail;26-35;gaming;1
125;0.0;68.0;3.0;instagram pack;True;25;insta;19-25;design;1
126;79.0;1.0;91.0;fifa;True;22;mail;19-25;football;1
127;90.0;83.0;23.0;fortnite;True;23;mail;19-25;gaming;1
128;34.0;32.0;32.0;fortnite;False;20;insta;19-25;gaming;0
129;42.0;100.0;11.0;instagram pack;True;26;insta;26-35;design;1
130;32.0;39.0;73.0;fifa;True;47;mail;36-50;football;1
131;28.0;12.0;11.0;fortnite;True;22;facebook;19-25;gaming;1
132;1.0;34.0;86.0;fifa;True;54;mail;51+;football;1
133;7.0;92.0;25.0;instagram pack;True;20;insta;19-25;design;1
134;33.0;6.0;67.0;fifa;False;42;facebook;36-50;football;0
135;74.0;28.0;35.0;fortnite;True;25;facebook;19-25;gaming;1
136;35.0;9.0;100.0;fifa;True;47;mail;36-50;football;1
137;63.0;98.0;48.0;instagram pack;True;25;insta;19-25;design;1
138;35.0;81.0;95.0;fifa;True;55;mail;51+;football;1
139;61.0;95.0;36.0;instagram pack;True;22;insta;19-25;design;1
140;54.0;12.0;22.0;fortnite;False;28;mail;26-35;gaming;0
141;29.0;16.0;61.0;fifa;True;54;mail;51+;football;1
142;88.0;85.0;12.0;fortnite;False;25;facebook;19-25;gaming;0
143;48.0;99.0;11.0;instagram pack;False;27;insta;26-35;design;0
144;18.0;75.0;8.0;instagram pack;True;27;insta;26-35;design;1
145;77.0;94.0;51.0;instagram pack;True;24;insta;19-25;design;1
146;15.0;68.0;98.0;fifa;True;57;mail;51+;football;1
147;51.0;84.0;99.0;fifa;False;50;mail;36-50;football;0
148;15.0;56.0;38.0;instagram pack;True;30;insta;26-35;design;1
149;41.0;57.0;38.0;instagram pack;False;24;insta;19-25;design;0
150;4.0;34.0;86.0;fifa;True;59;mail;51+;football;1
151;74.0;17.0;75.0;fifa;False;30;mail;26-35;football;0
152;57.0;16.0;6.0;fortnite;True;22;facebook;19-25;gaming;1
153;39.0;41.0;8.0;instagram pack;False;23;insta;19-25;design;0
154;65.0;4.0;28.0;fortnite;True;26;facebook;26-35;gaming;1
155;82.0;7.0;64.0;fortnite;False;21;insta;19-25;gaming;0
156;16.0;70.0;88.0;fifa;True;45;mail;36-50;football;1
157;35.0;69.0;30.0;instagram pack;True;30;insta;26-35;design;1
158;53.0;38.0;90.0;fifa;True;53;mail;51+;football;1
159;18.0;38.0;66.0;fifa;True;46;mail;36-50;football;1
160;91.0;57.0;19.0;fortnite;True;24;facebook;19-25;gaming;1
162;91.0;61.0;62.0;fortnite;True;26;facebook;26-35;gaming;1
163;24.0;55.0;32.0;instagram pack;True;21;insta;19-25;design;1
164;5.0;57.0;43.0;instagram pack;False;21;mail;19-25;design;0
165;44.0;60.0;46.0;instagram pack;False;25;mail;19-25;design;0
166;84.0;74.0;100.0;fifa;True;29;mail;26-35;football;1
167;18.0;19.0;56.0;fifa;True;26;mail;26-35;football;1
168;48.0;13.0;14.0;fortnite;True;29;facebook;26-35;gaming;1
170;74.0;11.0;73.0;fortnite;False;25;facebook;19-25;gaming;0
171;71.0;75.0;23.0;instagram pack;True;25;insta;19-25;design;1
172;7.0;91.0;35.0;instagram pack;True;22;insta;19-25;design;1
173;57.0;59.0;49.0;instagram pack;True;26;insta;26-35;design;1
174;100.0;40.0;99.0;fortnite;False;29;mail;26-35;gaming;0
175;62.0;16.0;72.0;fifa;True;23;mail;19-25;football;1
176;83.0;76.0;91.0;fifa;True;25;mail;19-25;football;1
177;12.0;45.0;34.0;instagram pack;False;27;insta;26-35;design;0
178;81.0;68.0;46.0;fortnite;False;24;facebook;19-25;gaming;0
180;9.0;55.0;29.0;instagram pack;False;29;insta;26-35;design;0
181;4.0;32.0;64.0;fifa;True;40;mail;36-50;football;1
182;48.0;10.0;84.0;fifa;False;50;mail;36-50;football;0
183;88.0;85.0;58.0;fortnite;False;28;mail;26-35;gaming;0
184;76.0;32.0;97.0;fifa;True;30;mail;26-35;football;1
185;0.0;20.0;54.0;fifa;False;4;mail;0-12;football;0
186;80.0;68.0;94.0;fifa;True;29;mail;26-35;football;1
187;2.0;52.0;22.0;instagram pack;False;22;insta;19-25;design;0
188;36.0;73.0;73.0;instagram pack;True;47;insta;36-50;design;1
189;84.0;77.0;72.0;fortnite;True;30;insta;26-35;gaming;1
190;50.0;44.0;76.0;fifa;True;40;mail;36-50;football;1
191;64.0;31.0;33.0;fortnite;True;24;facebook;19-25;gaming;1
192;71.0;38.0;25.0;fortnite;True;27;facebook;26-35;gaming;1
193;53.0;2.0;49.0;fortnite;False;26;mail;26-35;gaming;0
194;53.0;4.0;93.0;fifa;False;59;mail;51+;football;0
195;56.0;16.0;46.0;fortnite;True;23;facebook;19-25;gaming;1
196;100.0;84.0;13.0;fortnite;True;25;facebook;19-25;gaming;1
197;50.0;37.0;63.0;fifa;True;55;mail;51+;football;1
198;37.0;49.0;97.0;fifa;True;56;mail;51+;football;1
199;78.0;90.0;50.0;instagram pack;False;22;insta;19-25;design;0
200;51.0;37.0;96.0;fifa;False;53;insta;51+;football;0
202;29.0;50.0;80.0;fifa;False;46;mail;36-50;football;0
203;3.0;9.0;55.0;fifa;False;28;insta;26-35;football;0
204;16.0;83.0;87.0;fifa;True;57;mail;51+;football;1
205;5.0;52.0;65.0;fifa;True;43;mail;36-50;football;1
206;42.0;74.0;22.0;instagram pack;True;30;insta;26-35;design;1
207;94.0;74.0;15.0;fortnite;True;28;facebook;26-35;gaming;1
208;3.0;55.0;24.0;instagram pack;False;21;insta;19-25;design;0
209;66.0;26.0;92.0;fifa;False;20;mail;19-25;football;0
210;60.0;50.0;18.0;fortnite;False;29;facebook;26-35;gaming;0
211;81.0;91.0;41.0;instagram pack;True;30;insta;26-35;design;1
212;20.0;69.0;0.0;instagram pack;True;25;insta;19-25;design;1
213;11.0;89.0;45.0;instagram pack;True;30;insta;26-35;design;1
214;77.0;89.0;44.0;instagram pack;True;29;insta;26-35;design;1
215;25.0;46.0;85.0;fifa;True;46;mail;36-50;football;1
216;93.0;62.0;47.0;fortnite;True;28;facebook;26-35;gaming;1
217;25.0;35.0;0.0;instagram pack;True;25;insta;19-25;design;1
218;98.0;51.0;78.0;fortnite;True;26;insta;26-35;gaming;1
219;55.0;85.0;13.0;instagram pack;True;21;insta;19-25;design;1
220;86.0;77.0;87.0;fifa;True;29;mail;26-35;football;1
221;25.0;13.0;58.0;fifa;True;28;mail;26-35;football;1
222;25.0;13.0;58.0;fifa;True;28;mail;26-35;football;1
223;6.0;2.0;22.0;fifa;False;22;insta;19-25;football;0
224;17.0;37.0;98.0;fifa;True;60;mail;51+;football;1
225;63.0;88.0;100.0;fifa;True;27;mail;26-35;football;1
226;38.0;56.0;16.0;instagram pack;True;22;insta;19-25;design;1
227;89.0;43.0;24.0;fortnite;False;20;insta;19-25;gaming;0
228;83.0;24.0;67.0;fortnite;True;22;facebook;19-25;gaming;1
229;17.0;99.0;85.0;instagram pack;True;56;insta;51+;design;1
230;7.0;39.0;82.0;fifa;True;49;mail;36-50;football;1
231;100.0;5.0;51.0;fortnite;True;28;facebook;26-35;gaming;1
232;97.0;58.0;55.0;fortnite;True;27;facebook;26-35;gaming;1
233;69.0;100.0;32.0;instagram pack;True;27;insta;26-35;design;1
234;20.0;69.0;69.0;instagram pack;True;46;insta;36-50;design;1
235;3.0;93.0;74.0;instagram pack;True;50;insta;36-50;design;1
236;93.0;94.0;23.0;instagram pack;False;26;insta;26-35;design;0
237;2.0;30.0;39.0;fifa;False;20;mail;19-25;football;0
238;23.0;94.0;5.0;instagram pack;True;27;insta;26-35;design;1
239;91.0;74.0;3.0;fortnite;True;27;facebook;26-35;gaming;1
240;93.0;50.0;61.0;fortnite;False;22;facebook;19-25;gaming;0
241;78.0;74.0;7.0;fortnite;True;23;insta;19-25;gaming;1
242;44.0;43.0;4.0;fortnite;True;25;facebook;19-25;gaming;1
243;67.0;18.0;83.0;fifa;True;21;mail;19-25;football;1
244;11.0;46.0;0.0;instagram pack;False;2;insta;0-12;design;0
245;63.0;37.0;36.0;fortnite;True;30;facebook;26-35;gaming;1
246;99.0;76.0;2.0;fortnite;True;21;facebook;19-25;gaming;1
247;49.0;9.0;4.0;fortnite;True;25;facebook;19-25;gaming;1
248;43.0;1.0;12.0;fortnite;False;20;facebook;19-25;gaming;0
249;83.0;64.0;62.0;fortnite;True;28;facebook;26-35;gaming;1
250;16.0;8.0;74.0;fifa;True;55;mail;51+;football;1
252;37.0;34.0;93.0;fifa;True;44;mail;36-50;football;1
253;68.0;61.0;59.0;fortnite;False;22;insta;19-25;gaming;0
254;77.0;74.0;8.0;fortnite;True;21;facebook;19-25;gaming;1
255;98.0;34.0;0.0;fortnite;True;21;facebook;19-25;gaming;1
256;21.0;59.0;63.0;fifa;False;48;mail;36-50;football;0
257;10.0;100.0;13.0;instagram pack;True;20;insta;19-25;design;1
258;34.0;84.0;36.0;instagram pack;False;20;insta;19-25;design;0
259;77.0;25.0;61.0;fortnite;True;26;facebook;26-35;gaming;1
260;41.0;88.0;17.0;instagram pack;False;27;insta;26-35;design;0
262;37.0;96.0;22.0;instagram pack;True;26;insta;26-35;design;1
263;96.0;24.0;16.0;fortnite;False;25;mail;19-25;gaming;0
264;65.0;77.0;52.0;instagram pack;False;24;insta;19-25;design;0
265;50.0;38.0;50.0;fortnite;True;28;facebook;26-35;gaming;1
266;66.0;6.0;50.0;fortnite;True;29;facebook;26-35;gaming;1
267;63.0;14.0;28.0;fortnite;True;20;facebook;19-25;gaming;1
268;93.0;26.0;35.0;fortnite;False;20;mail;19-25;gaming;0
269;56.0;96.0;100.0;fifa;True;56;mail;51+;football;1
270;32.0;67.0;85.0;fifa;True;43;mail;36-50;football;1
271;4.0;73.0;96.0;fifa;True;53;mail;51+;football;1
272;12.0;30.0;46.0;fifa;False;29;mail;26-35;football;0
274;7.0;4.0;28.0;fifa;True;20;mail;19-25;football;1
275;75.0;44.0;1.0;fortnite;True;30;facebook;26-35;gaming;1
276;75.0;44.0;1.0;fortnite;True;30;facebook;26-35;gaming;1
277;75.0;44.0;1.0;fortnite;True;30;facebook;26-35;gaming;1
278;75.0;44.0;1.0;fortnite;True;30;facebook;26-35;gaming;1
279;35.0;35.0;25.0;fortnite;True;28;facebook;26-35;gaming;1
280;68.0;19.0;10.0;fortnite;False;24;facebook;19-25;gaming;0
281;37.0;5.0;71.0;fifa;True;40;mail;36-50;football;1
282;89.0;45.0;11.0;fortnite;False;20;mail;19-25;gaming;0
283;61.0;81.0;88.0;fifa;True;25;mail;19-25;football;1
284;59.0;42.0;75.0;fifa;True;58;mail;51+;football;1
285;67.0;4.0;36.0;fortnite;False;27;insta;26-35;gaming;0
286;91.0;30.0;8.0;fortnite;True;22;insta;19-25;gaming;1
287;28.0;77.0;39.0;instagram pack;False;21;insta;19-25;design;0
289;20.0;89.0;35.0;instagram pack;True;30;insta;26-35;design;1
290;56.0;0.0;62.0;fifa;True;46;mail;36-50;football;1
291;39.0;14.0;20.0;fortnite;True;23;facebook;19-25;gaming;1
292;52.0;8.0;73.0;fifa;False;42;mail;36-50;football;0
293;25.0;40.0;34.0;instagram pack;True;27;insta;26-35;design;1
294;24.0;89.0;74.0;instagram pack;False;56;insta;51+;design;0
295;6.0;81.0;90.0;fifa;True;57;mail;51+;football;1
296;16.0;42.0;58.0;fifa;True;27;mail;26-35;football;1
297;50.0;53.0;23.0;instagram pack;False;20;mail;19-25;design;0
298;51.0;69.0;87.0;fifa;True;52;mail;51+;football;1
299;28.0;62.0;21.0;instagram pack;True;30;insta;26-35;design;1
300;84.0;48.0;70.0;fortnite;False;23;mail;19-25;gaming;0
301;48.0;19.0;85.0;fifa;True;52;mail;51+;football;1
302;60.0;48.0;70.0;fifa;True;20;mail;19-25;football;1
303;12.0;93.0;86.0;instagram pack;True;47;insta;36-50;design;1
304;55.0;82.0;61.0;instagram pack;True;59;insta;51+;design;1
305;28.0;48.0;44.0;instagram pack;True;30;insta;26-35;design;1
306;15.0;39.0;18.0;instagram pack;True;30;insta;26-35;design;1
307;77.0;46.0;65.0;fortnite;True;21;mail;19-25;gaming;1
308;93.0;37.0;50.0;fortnite;True;20;facebook;19-25;gaming;1
309;0.0;7.0;28.0;fifa;True;55;mail;51+;football;1
310;2.0;31.0;9.0;instagram pack;True;22;insta;19-25;design;1
311;33.0;96.0;86.0;instagram pack;False;50;mail;36-50;design;0
312;31.0;49.0;6.0;instagram pack;False;24;mail;19-25;design;0
313;64.0;56.0;66.0;fifa;True;28;mail;26-35;football;1
314;58.0;71.0;53.0;instagram pack;True;30;insta;26-35;design;1
316;100.0;66.0;50.0;fortnite;True;22;facebook;19-25;gaming;1
317;7.0;33.0;34.0;fifa;True;27;mail;26-35;football;1
319;67.0;36.0;53.0;fortnite;True;21;facebook;19-25;gaming;1
320;94.0;54.0;47.0;fortnite;True;20;facebook;19-25;gaming;1
321;73.0;6.0;32.0;fortnite;True;30;facebook;26-35;gaming;1
322;18.0;18.0;35.0;fifa;False;30;mail;26-35;football;0
323;81.0;1.0;0.0;fortnite;False;23;facebook;19-25;gaming;0
324;19.0;10.0;1.0;fortnite;True;21;mail;19-25;gaming;1
325;11.0;19.0;4.0;instagram pack;True;23;insta;19-25;design;1
326;93.0;8.0;97.0;fifa;False;30;mail;26-35;football;0
327;98.0;85.0;23.0;fortnite;True;23;facebook;19-25;gaming;1
328;29.0;58.0;86.0;fifa;False;50;mail;36-50;football;0
329;80.0;80.0;13.0;fortnite;False;23;facebook;19-25;gaming;0
330;65.0;24.0;72.0;fifa;True;23;mail;19-25;football;1
331;3.0;25.0;57.0;fifa;False;29;mail;26-35;football;0
332;97.0;86.0;36.0;fortnite;True;23;facebook;19-25;gaming;1
333;17.0;84.0;41.0;instagram pack;True;26;insta;26-35;design;1
334;37.0;33.0;16.0;fortnite;True;25;facebook;19-25;gaming;1
335;75.0;86.0;85.0;instagram pack;True;20;facebook;19-25;design;1
336;56.0;30.0;5.0;fortnite;False;30;mail;26-35;gaming;0
337;97.0;11.0;52.0;fortnite;True;24;facebook;19-25;gaming;1
338;44.0;16.0;25.0;fortnite;True;25;facebook;19-25;gaming;1
339;61.0;45.0;63.0;fifa;True;21;mail;19-25;football;1
340;53.0;64.0;50.0;instagram pack;True;27;insta;26-35;design;1
341;25.0;28.0;20.0;instagram pack;False;24;insta;19-25;design;0
342;10.0;35.0;58.0;fifa;True;28;mail;26-35;football;1
343;98.0;53.0;97.0;fortnite;True;23;facebook;19-25;gaming;1
344;23.0;21.0;68.0;fifa;True;55;mail;51+;football;1
345;35.0;19.0;82.0;fifa;True;42;facebook;36-50;football;1
346;80.0;61.0;97.0;fifa;True;20;mail;19-25;football;1
347;65.0;72.0;72.0;instagram pack;True;23;insta;19-25;design;1
348;0.0;88.0;60.0;instagram pack;True;26;insta;26-35;design;1
349;41.0;24.0;38.0;fortnite;True;24;facebook;19-25;gaming;1
350;100.0;43.0;50.0;fortnite;True;28;facebook;26-35;gaming;1
351;97.0;11.0;18.0;fortnite;True;29;facebook;26-35;gaming;1
352;58.0;48.0;60.0;fifa;False;20;mail;19-25;football;0
353;56.0;54.0;46.0;fortnite;True;27;facebook;26-35;gaming;1
354;79.0;87.0;82.0;instagram pack;True;22;insta;19-25;design;1
355;20.0;80.0;86.0;fifa;True;40;mail;36-50;football;1
356;79.0;69.0;71.0;fortnite;True;29;facebook;26-35;gaming;1
357;88.0;11.0;14.0;fortnite;True;29;facebook;26-35;gaming;1
358;25.0;46.0;31.0;instagram pack;False;20;insta;19-25;design;0
359;70.0;16.0;22.0;fortnite;True;23;facebook;19-25;gaming;1
360;85.0;6.0;13.0;fortnite;True;26;facebook;26-35;gaming;1
361;6.0;8.0;47.0;fifa;True;25;mail;19-25;football;1
362;58.0;86.0;92.0;fifa;True;59;mail;51+;football;1
363;93.0;38.0;98.0;fifa;True;24;facebook;19-25;football;1
364;16.0;13.0;30.0;fifa;True;26;mail;26-35;football;1
365;59.0;44.0;97.0;fifa;False;42;mail;36-50;football;0
366;42.0;39.0;89.0;fifa;True;53;mail;51+;football;1
368;24.0;12.0;81.0;fifa;True;58;mail;51+;football;1
369;41.0;65.0;54.0;instagram pack;True;28;insta;26-35;design;1
371;31.0;95.0;98.0;fifa;True;41;mail;36-50;football;1
372;45.0;28.0;61.0;fifa;True;56;mail;51+;football;1
373;61.0;56.0;15.0;fortnite;False;24;mail;19-25;gaming;0
374;9.0;29.0;24.0;instagram pack;True;26;insta;26-35;design;1
375;83.0;4.0;64.0;fortnite;True;21;mail;19-25;gaming;1
376;2.0;44.0;13.0;instagram pack;True;30;insta;26-35;design;1
377;67.0;17.0;61.0;fortnite;True;25;facebook;19-25;gaming;1
378;47.0;64.0;52.0;instagram pack;False;25;insta;19-25;design;0
379;72.0;14.0;48.0;fortnite;True;21;facebook;19-25;gaming;1
380;67.0;11.0;58.0;fortnite;False;25;mail;19-25;gaming;0
381;60.0;100.0;42.0;instagram pack;True;23;insta;19-25;design;1
382;38.0;55.0;62.0;fifa;False;58;mail;51+;football;0
383;10.0;61.0;76.0;fifa;False;46;mail;36-50;football;0
384;70.0;51.0;3.0;fortnite;True;27;mail;26-35;gaming;1
385;19.0;92.0;62.0;instagram pack;True;49;insta;36-50;design;1
386;73.0;97.0;56.0;instagram pack;True;24;insta;19-25;design;1
387;2.0;5.0;4.0;instagram pack;True;25;insta;19-25;design;1
388;46.0;86.0;48.0;instagram pack;True;27;insta;26-35;design;1
389;19.0;60.0;34.0;instagram pack;False;22;mail;19-25;design;0
390;61.0;16.0;87.0;fifa;False;28;mail;26-35;football;0
391;98.0;12.0;88.0;fortnite;True;23;facebook;19-25;gaming;1
392;13.0;100.0;97.0;instagram pack;True;47;insta;36-50;design;1
393;55.0;66.0;91.0;fifa;True;50;mail;36-50;football;1
394;66.0;24.0;97.0;fifa;False;21;insta;19-25;football;0
395;8.0;78.0;39.0;instagram pack;False;22;insta;19-25;design;0
396;10.0;58.0;97.0;fifa;True;55;mail;51+;football;1
397;78.0;37.0;71.0;fortnite;False;28;facebook;26-35;gaming;0
398;47.0;89.0;17.0;instagram pack;True;23;insta;19-25;design;1
399;59.0;47.0;76.0;fifa;False;40;mail;36-50;football;0
400;76.0;80.0;39.0;instagram pack;False;26;insta;26-35;design;0
401;61.0;92.0;57.0;instagram pack;True;26;mail;26-35;design;1
402;39.0;97.0;39.0;instagram pack;True;21;insta;19-25;design;1
403;32.0;5.0;87.0;fifa;False;44;mail;36-50;football;0
404;39.0;91.0;96.0;fifa;True;45;mail;36-50;football;1
405;47.0;40.0;12.0;fortnite;False;30;mail;26-35;gaming;0
406;88.0;52.0;41.0;fortnite;True;25;facebook;19-25;gaming;1
407;26.0;37.0;59.0;fifa;True;21;mail;19-25;football;1
408;44.0;57.0;30.0;instagram pack;False;29;insta;26-35;design;0
409;9.0;31.0;52.0;fifa;False;28;mail;26-35;football;0
410;30.0;81.0;99.0;fifa;True;50;mail;36-50;football;1
411;76.0;92.0;11.0;instagram pack;True;25;insta;19-25;design;1
412;95.0;12.0;45.0;fortnite;True;29;facebook;26-35;gaming;1
413;16.0;94.0;97.0;fifa;True;58;mail;51+;football;1
415;70.0;73.0;95.0;fifa;False;24;mail;19-25;football;0
416;27.0;59.0;78.0;fifa;False;41;mail;36-50;football;0
417;92.0;21.0;67.0;fortnite;True;21;facebook;19-25;gaming;1
